услуга_в_прайсе,цена_руб,почему_в_списке,синонимы_вписать
Cito ХГЧ (Total b-hCG)  хорионический  гонадотропин,740.0,код/аббревиатура в названии,
АТ - ТГ (Anti-Tg) антитела к тиреоглобулину с разведением,500.0,код/аббревиатура в названии,
АТ -ТПО (Anti-TPO) антитела к тиреоидной  пероксидазе с разведением,1010.0,код/аббревиатура в названии,
Аддуцин 1 (альфа) (ADD1). Выявление мутации G1378T  (Gly460Trp),590.0,код/аббревиатура в названии,
"Альфа-лактальбумин,аллергокомпонент молока (f76, nBos d 4), IgE, ImmunoCAP",2300.0,код/аббревиатура в названии,
"Анализ числа (CAG)-повторов в гене андрогенового рецептора (AR), частые делеции в AZF локусе, частые мутации в гене CFTR (22 шт.+IVS8TT) (Геномед)",16800.0,код/аббревиатура в названии,
Анализ числа CAG-повторов в гене андрогенового рецептора (AR) (Геномед),7500.0,код/аббревиатура в названии,
Андрогеновый рецептор (AR). Выявление мутации (CAG)n ((Gln)n),3100.0,код/аббревиатура в названии,
"Антигены системы Rh (C, E, c, e), Kell – фенотипирование",730.0,код/аббревиатура в названии,
"Антигены системы Rh (C, E, c, e), Kell – фенотипирование",730.0,код/аббревиатура в названии,
"Антинейрональные антитела, панель (лайн-блот: Hu (ANNA 1), Yo-1 (PCA1), CV2, Ма2, Ri (ANNA2), амфифизин) (Антитела при паранеопластических неврологических заболеваниях, Paraneoplastic Syndrome Antibody Panel)",5300.0,код/аббревиатура в названии,
"Антитела к аквапорину 4, диагностика нейрооптикомиелита (Neuromyelitis Optica (NMO) Antibody, Aquaporin-4 (AQP4) Antibody)",2700.0,код/аббревиатура в названии,
"Антитела к возбудителю анизакидоза (нематодам рода Anisakis), IgG (Anisakis, IgG)",830.0,код/аббревиатура в названии,
"Антитела к клеткам сосудистого эндотелия (HUVEC), IgG",1500.0,код/аббревиатура в названии,
"Антитела к коронавирусу SARS-CoV-2, IgG (anti-SARS-CoV-2, IgG), нуклеокапсидный (N) белок, количественное исследование",1380.0,код/аббревиатура в названии,
"Антитела к коронавирусу SARS-CoV-2, IgG (anti-SARS-CoV-2, IgG), нуклеокапсидный (N) белок, количественное исследование",1380.0,код/аббревиатура в названии,
"Антитела к коронавирусу SARS-CoV-2, IgG (anti-SARS-CoV-2, IgG), спайковый (S) белок, количественное исследование на концентрацию антител",1380.0,код/аббревиатура в названии,
"Антитела к коронавирусу SARS-CoV-2, IgG (anti-SARS-CoV-2, IgG), спайковый (S) белок, количественное исследование на концентрацию антител",1380.0,код/аббревиатура в названии,
"Антитела к коронавирусу SARS-CoV-2, IgG и IgM (anti-SARS-CoV-2, IgG, anti-SARS-CoV-2, IgM), спайковый (S) белок, колличественное исследование на концентрацию антител",1000.0,код/аббревиатура в названии,
"Антитела к протеиназе 3 (Serine Protease 3 Antibody, PR-3)",1190.0,код/аббревиатура в названии,
Антитела к сахаромицетам (Sacchаromyces cerevisiae (ASCA)) классов IgG,1170.0,код/аббревиатура в названии,
"Антитела к столбнячному анатоксину, IgG (Tetanus Toxoid IgG Antibodies)",990.0,код/аббревиатура в названии,
"Антитела к тирозинфосфатазе (IA-2), IgG",1600.0,код/аббревиатура в названии,
Антитела к фосфатидил-протромбину  (PS-PT) IgG/IgM суммарно,1360.0,код/аббревиатура в названии,
"Антитела к цитоплазматическим антигенам SS-A  (Ro) ((SS-A (52кДа)/ SS-A (60 кДа), IgG (Anti –SS-A, IgG (Anti-SS-A-52 and anti-SS-A-60 autoantibodies))",1400.0,код/аббревиатура в названии,
"Антитела к цитоплазматическим антигенам SS-B (La), IgG (Anti-SS-B autoantibodies, IgG)",1350.0,код/аббревиатура в названии,
Антитела к цитоплазматическому антигену SS-A(RO) (Анти-Ro/SS-A),1100.0,код/аббревиатура в названии,
Антитела класса IgG к белку теплового шока Chlamydia trachomatis (Anti-cHSP60-IgG),600.0,код/аббревиатура в названии,
"Асимметричный диметиларгинин, AДMA (Asymmetric dimethylarginine, ADMA)",2350.0,код/аббревиатура в названии,
"Барбитураты в моче (Barbiturates, Urine)",980.0,код/аббревиатура в названии,
Бриварацетам (Brivaracetam),2700.0,код/аббревиатура в названии,
Вигабатрин (Vigabatrin),2750.0,код/аббревиатура в названии,
Вирус краснухи (Rubella) [кач.],780.0,код/аббревиатура в названии,
Выявление РНК коронавируса COVID-19 (SARS-COV-2),1000.0,код/аббревиатура в названии,
"Выявление мутаций в ткани опухоли в генах BRCA1 (185delAG, 4153delA, 5382insC, 3819delGTAAA, 3875delGTCT, 300T>G (Cys61Gly), 2080delA) и BRCA2 (6174delT) при раке молочной железы, при раке желудка.",13596.0,код/аббревиатура в названии,
Габапентин (Gabapentin),2900.0,код/аббревиатура в названии,
Ген рецептора витамина D (VDR). Выявление мутации G283A,980.0,код/аббревиатура в названии,
Генетическая диагностика резистентности к терапии РНК-вирусов (HCV),8000.0,код/аббревиатура в названии,
Зонисамид (Zonisamide),2750.0,код/аббревиатура в названии,
"Идентификация генов в тканях опухоли методом флюоресцентной гибридизации in situ (FISH), одна реакция.",66374.0,код/аббревиатура в названии,
Иммуногистохимическая диагностика хронического эндометрита-выявление плазматических клеток (CD138),5500.0,код/аббревиатура в названии,
"Ингибитор активатора плазминогена (SERPINE1, PAI-1). Выявление мутации 5G(-675)4G (регуляторная область гена)",890.0,код/аббревиатура в названии,
"Интерлейкин 28 бета-IL, 28B, генотипирование (C>T(rs)2979860; T>G(rs)8099917)",650.0,код/аббревиатура в названии,
Исследование кариотипа (количественные и структурные аномалии хромосом (Karyotype)),6800.0,код/аббревиатура в названии,
"Казеин,  аллергокомпонент молока (f78, nBos d 8), IgE, ImmunoCAP",2300.0,код/аббревиатура в названии,
"Кампилобактер (Campylobacter spp.), антигенный тест, кал",1200.0,код/аббревиатура в названии,
Карбамазепин (Carbamazepine),2600.0,код/аббревиатура в названии,
Карбамазепин и метаболиты (Carbamazepine and metabolites),2900.0,код/аббревиатура в названии,
Клобазам и норклобазам (Clobazam and norclobazam),4950.0,код/аббревиатура в названии,
Клоназепам (Klonazepam),2900.0,код/аббревиатура в названии,
"Комплексное исследование мутаций в ткани опухоли при раке легкого (EGFR, KRAS, BRAF, HER2).",21850.0,код/аббревиатура в названии,
"Комплексное молекулярно-генетическое исследование копийности генов в ткани опухоли при раке молочной железы: HER2 (ERBB2), TOP2A, ESR1, EGFR, ZNF703, FGFR1, ADAM9, IKBKB, PRDM14, MYC, MTDH, CCND1, C11ORF30, CDH1, MAPT, PPMD1, BIRC5,  CCNE1, AURKA.",31004.0,код/аббревиатура в названии,
"Комплексное молекулярно-генетическое исследование при раке тела матки (POLE, MSI).",16652.0,код/аббревиатура в названии,
Лакосамид (Lacosamide),2650.0,код/аббревиатура в названии,
"Ламотриджин, лекарственный мониторинг (Lamotrigine)",2950.0,код/аббревиатура в названии,
МАR-тест  IgA  (MarScreen IgA) (определение антиспермальных антител),620.0,код/аббревиатура в названии,
МАR-тест  IgG  (MarScreen IgG) (определение антиспермальных антител),620.0,код/аббревиатура в названии,
МАR-тест  IgM  (MarScreen IgM) (определение антиспермальных антител),690.0,код/аббревиатура в названии,
Метилентетрагидрофолат редуктаза (MTHFR). Выявление мутации A1298C (Glu429Ala),760.0,код/аббревиатура в названии,
Метионинсинтаза (MTR). Выявление мутации A2756G (Asp919Gly),580.0,код/аббревиатура в названии,
"Миозит-специфичные антитела, панель (лайн-блот: Mi-2, Ku, PM-Scl 100/75; Jo1 PL-7 PL-12 EJ OJ; SRP, SSA (Ro52))",3600.0,код/аббревиатура в названии,
"Молекулярно-генетический скрининг мутаций в цитологическом и гистологическом материале при папиллярной карциноме щитовидной железы (BRAF, TERT).",12856.0,код/аббревиатура в названии,
"Молекулярно-генетическое исследование амплификации гена ERBB2 (HER2) в ткани опухоли при колоректальном раке, при раке молочной железы, при раке желудка и пр.",16189.0,код/аббревиатура в названии,
Молекулярно-генетическое исследование микросателлитной нестабильности в ткани опухоли (MSI).,14244.0,код/аббревиатура в названии,
Неинвазивный пренатальный тест (НИПТ Т21) (Noninvasive Prenatal Testing (NIPT trisomy 21)) (Геномед),21500.0,код/аббревиатура в названии,
Неинвазивный пренатальный тест (НИПТ базовый) (Non-Invasive Prenatal Test (base)) (Геномед),24100.0,код/аббревиатура в названии,
Неинвазивный пренатальный тест (НИПТ) – расширенная панель (Noninvasive Prenatal Testing (advanced)) (Геномед),41910.0,код/аббревиатура в названии,
Неинвазивный пренатальный тест (НИПТ) – стандартная панель (Noninvasive Prenatal Testing (standart)) (Геномед),28900.0,код/аббревиатура в названии,
"Определение антител класса М (IgM) и G (IgG) к Borrelia (болезнь Лайма, боррелиоз)",1400.0,код/аббревиатура в названии,
Определение коделеции локусов 1р/19q методом флуоресцентной гибридизации in situ (FISH),15000.0,код/аббревиатура в названии,
Определение микросателлитной нестабильности (MSI) (Геномед),6000.0,код/аббревиатура в названии,
Определение мутаций в генах репарации ДНК (HRR) методом NGS: Solo ABC,55000.0,код/аббревиатура в названии,
Определение транслокаций гена SS18 (SYT) (Геномед),15000.0,код/аббревиатура в названии,
Определение числа копий гена KMT2A (MLL) (Геномед),15000.0,код/аббревиатура в названии,
ПЦР анализ мутационного статуса генов вариабельных участков иммуноглобулинов (IGHV) (Геномед),14000.0,код/аббревиатура в названии,
ПЦР анализ относительной экспрессии гена BCR/ABL р210 - количественная RQ ПЦР (в реальном времени) (PCR analysis of the relative expression of the BCR/ABL p210 gene - quantitative RQ PCR (real time),4560.0,код/аббревиатура в названии,
Перампанел (Perampanel),2750.0,код/аббревиатура в названии,
Поиск мутаций в гене GJB2 (Cx26) (Геномед),8900.0,код/аббревиатура в названии,
Посев на бета-гемолитический стрептококк группы А (Streptococcus pyogenes),690.0,код/аббревиатура в названии,
"Посев на гонококк (N. gonorrhoeae, гонорея) и определение чувствительности к антибиотикам (GC, Neisseria gonorrhoeae) Culture. Bacteria Identification and Susceptibility",850.0,код/аббревиатура в названии,
"Посев на метициллинрезистентный золотистый стафилококк, МРЗС(MRSA) идентификация агента и чувствительность к антибиотикам",1050.0,код/аббревиатура в названии,
Прегненолон (Pregnenolone),2700.0,код/аббревиатура в названии,
"Развернутое молекулярно-генетическое исследование в ткани опухоли при колоректальном раке (MSI, BRAF, KRAS, NRAS).",29152.0,код/аббревиатура в названии,
Рецептор ангиотензина 1 (AGTR1). Выявление мутации A1166C (регуляторная область гена),580.0,код/аббревиатура в названии,
Рецептор ангиотензина II второго типа (AGTR2). Выявление мутации G1675A (регуляторная область гена),590.0,код/аббревиатура в названии,
Руфинамид (Rufinamide),2650.0,код/аббревиатура в названии,
Сверхсрочное выявление РНК коронавируса COVID-19 (SARS-COV-2),3150.0,код/аббревиатура в названии,
"Семейная гиперхолестеринемия (комплексная диагностика - гены LDLR, APOB, PCSK9) (Familial Hypercholesterolemia - Genes LDLR, APOB, PCSK9)",6750.0,код/аббревиатура в названии,
"Семейная гиперхолестеринемия, ген LDLR (Familial Hypercholesterolemia, Gene LDLR)",8990.0,код/аббревиатура в названии,
"Семейная гиперхолестеринемия, ген PCSK9 (Familial Hypercholesterolemia, Gene PCSK9)",8100.0,код/аббревиатура в названии,
Синдром Жильбера определение варианта A(TA)6TAA/A(TA)7TAA в промоторной области гена,2650.0,код/аббревиатура в названии,
Срочное выявление РНК коронавируса COVID-19 (SARS-COV-2),2950.0,код/аббревиатура в названии,
Срочное выявление РНК коронавируса COVID-19 (SARS-COV-2),2950.0,код/аббревиатура в названии,
Сультиам (Sulthiame),2900.0,код/аббревиатура в названии,
"Типирование генов гистосовместимости человека (HLA) II класса: DRB1,  DQA1,  DQB1",6800.0,код/аббревиатура в названии,
"Типирование по трем генам HLA II класса (DRB1, DQA1, DQB1) (Геномед)",17200.0,код/аббревиатура в названии,
"Токсические микроэлементы и тяжелые металлы (Hg, Cd,  As, Li, Pb, Al)",1600.0,код/аббревиатура в названии,
Топирамат (Topiramate),2750.0,код/аббревиатура в названии,
"УПЭ - исследование кала на условно-патогенные энтеробактерии (Klebsiella, Escherichia, Enterobacter, Citrobacter, Proteus, Serratia)",960.0,код/аббревиатура в названии,
"Фактор свертываемости крови 13, субъединица A1 (F13A1). Выявление мутации G103T (Val34Leu)",640.0,код/аббревиатура в названии,
Феназепам (Phenazepam),3100.0,код/аббревиатура в названии,
Фенитоин (Phenytoin),2900.0,код/аббревиатура в названии,
Фенобарбитал (Phenobarbitalum),2900.0,код/аббревиатура в названии,
"Фибриноген, бета-полипептид (FGB). Выявление мутации G(-455)A (регуляторная область гена)",580.0,код/аббревиатура в названии,
"Экспресс-тест для определения гепатита В - (HBsAg, HBsAb, HBeAg, HBeAb, HBcAb)",1220.0,код/аббревиатура в названии,
Экспресс-тест для определения мононуклеоза (IgM),620.0,код/аббревиатура в названии,
Эозинофильный нейротоксин (EDN) в кале,4100.0,код/аббревиатура в названии,
Этосуксимид (Ethosuximide),2650.0,код/аббревиатура в названии,
Эхинококк (Hydatiosis) IgG,570.0,код/аббревиатура в названии,
"Яичный белок ( f1) IgE, ImmunoCAP",1050.0,код/аббревиатура в названии,
Candida albicans IgG,580.0,название латиницей — пациент его не наберёт,
Candida albicans IgM,680.0,название латиницей — пациент его не наберёт,
"Candida albicans, IgA",700.0,название латиницей — пациент его не наберёт,
Escherichia coli [кач.],540.0,название латиницей — пациент его не наберёт,
HER 2/neu,4600.0,название латиницей — пациент его не наберёт,
HLA В27,1720.0,название латиницей — пациент его не наберёт,
"Helicobacter pylori, антиген",1100.0,название латиницей — пациент его не наберёт,
Lactobacillus spp.  [кач.],350.0,название латиницей — пациент его не наберёт,
Mobiluncus mulieris/Mobiluncus curtisii (качественный метод),450.0,название латиницей — пациент его не наберёт,
Omicron Plus,1710.0,название латиницей — пациент его не наберёт,
PAPP-A,680.0,название латиницей — пациент его не наберёт,
